"FID_","ID_seq_num","prov_sale","prov_kill","lat","long_","race_tail","race_tree","bcr"
,"172120690 2004"," ","SK",52.383333,-106.200000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120691 2004"," ","SK",50.966666,-102.800000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120692 2004"," ","SK",52.383333,-106.200000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120694 2004"," ","SK",50.566666,-105.266666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120696 2004"," ","SK",50.966666,-102.800000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120700 2004"," ","SK",50.966666,-102.800000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120701 2004"," ","AB",53.283333,-110.066666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120704 2004"," ","AB",53.283333,-110.066666,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120707 2004"," ","SK",53.450000,-105.366666,"unknown","Branta hutchinsii","ERockies"
,"172120712 2004"," ","AB",56.216666,-117.733333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120720 2004"," ","SK",52.616666,-108.033333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172131094 2005"," ","AB",55.233333,-118.683333,"Branta canadensis","Branta canadensis","ERockies"
,"172131098 2005"," ","AB",55.383333,-118.800000,"unknown","Branta canadensis","ERockies"
,"172131100 2005"," ","AB",55.100000,-116.483333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172131101 2005"," ","AB",49.600000,-112.450000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172131104 2005"," ","AB",52.483333,-110.466666,"Branta canadensis","Branta hutchinsii","ERockies"
,"172131107 2005"," ","AB",54.850000,-113.283333,"Branta canadensis","Branta canadensis","ERockies"
,"172131552"," ","AB",52.350000,-110.300000,"Branta canadensis","Branta hutchinsii","ERockies"
,"172131556"," ","AB",55.266666,-119.433333,"unknown","Branta hutchinsii","ERockies"
,"172131558"," ","AB",49.816666,-112.916666,"unknown","Branta canadensis","ERockies"
,"172201862 2005"," ","AB",56.916666,-117.316666,"Branta canadensis","Branta canadensis","ERockies"
,"172210517"," ","BC",48.450000,-123.600000,"Branta canadensis","Branta canadensis","WRockies"
,"172210725"," ","BC",48.450000,-123.600000,"Branta canadensis","Branta canadensis","WRockies"
,"172211201"," ","BC",49.333333,-124.350000,"Branta canadensis","Branta canadensis","WRockies"
,"172211353"," ","BC",49.083333,-122.800000,"Branta canadensis","Branta canadensis","WRockies"
,"172211790 2003"," ","SK",53.200000,-105.633333,"Branta canadensis","Branta canadensis","ERockies"
,"172211794 2003"," ","SK",52.300000,-104.100000,"Branta canadensis","Branta hutchinsii","ERockies"
,"172211801 2003"," ","SK",52.516666,-105.750000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172211802 2003"," ","SK",53.450000,-103.583333,"Branta canadensis","Branta hutchinsii","ERockies"
,"172211809 2003"," ","SK",51.666666,-105.416666,"Branta canadensis","Branta hutchinsii","ERockies"
,"172211813 2003"," ","SK",52.033333,-106.066666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172212135"," ","BC",49.166666,-123.116666,"unknown","Branta canadensis","WRockies"
,"172220106 2005"," ","AB",50.850000,-114.083333,"Branta canadensis","Branta canadensis","ERockies"
,"172220202 2006"," ","BC",50.600000,-119.150000,"Branta canadensis","Branta canadensis","WRockies"
,"172220204 2006"," ","BC",55.083333,-127.166666,"Branta canadensis","Branta canadensis","WRockies"
,"172220205 2006"," ","BC",54.050000,-124.066666,"Branta canadensis","Branta canadensis","WRockies"
,"172220236 2005"," ","SK",53.050000,-108.333333,"Branta canadensis","Branta canadensis","ERockies"
,"172220506 2005"," ","MB",50.016666,-96.483333,"Branta canadensis","Branta canadensis","ERockies"
,"172220632 2005"," ","MB",50.566666,-98.016666,"Branta canadensis","Branta canadensis","ERockies"
,"172220685 2005"," ","BC",56.950000,-120.900000,"Branta canadensis","Branta canadensis","ERockies"
,"172220689 2005"," ","BC",50.433333,-120.316666,"Branta canadensis","Branta canadensis","WRockies"
,"172220691 2005"," ","BC",54.050000,-124.066666,"Branta canadensis","Branta canadensis","WRockies"
,"172220692 2005"," ","BC",50.433333,-120.316666,"Branta canadensis","Branta canadensis","WRockies"
,"172220701 2005"," ","BC",50.233333,-120.566666,"Branta canadensis","Branta canadensis","WRockies"
,"172220710 2005"," ","BC",51.783333,-121.416666,"Branta canadensis","Branta canadensis","WRockies"
,"172220716 2005"," ","BC",50.333333,-119.266666,"Branta canadensis","Branta canadensis","WRockies"
,"172220727 2005"," ","BC",49.166666,-122.650000,"Branta canadensis","Branta canadensis","WRockies"
,"172220733 2005"," ","BC",49.016666,-123.700000,"Branta canadensis","Branta canadensis","WRockies"
,"172220738 2005"," ","BC",49.050000,-123.116666,"Branta canadensis","Branta canadensis","WRockies"
,"172220740 2005"," ","BC",49.166666,-122.650000,"Branta canadensis","Branta canadensis","WRockies"
,"172220743 2005"," ","BC",54.050000,-124.066666,"Branta canadensis","Branta canadensis","WRockies"
,"172220745 2005"," ","BC",53.983333,-128.650000,"Branta canadensis","Branta canadensis","WRockies"
,"172220754 2005"," ","BC",56.950000,-120.900000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172221004 2005"," ","MB",50.016666,-96.016666,"Branta canadensis","Branta canadensis","ERockies"
